"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","OwnerId","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__Approver__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c","sbaa__SubmittedUser__c"
003642a2-1739-4009-a019-40dab5aa3efb,37e70c8a-1bbe-4a18-86c4-f0a08c8cbefd,70000.0,2019-11-13,"#N/A",The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Pipeline,Trade Show,Acme - 600 Widgets,Need estimate,2028edef-a2c5-470e-9b91-496795d5b04c,20.0,false,false,"#N/A",false,"#N/A","#N/A",false,Needs Analysis,New Business,"#N/A","#N/A","#N/A",false,"#N/A","#N/A"
007306dd-a56a-426e-8238-5697a316b7ee,1ad637c2-4c0f-4c88-8473-8cd25f99be38,39595.0,2022-04-27,"#N/A","#N/A",Pipeline,"#N/A",Yamia - SOW 1,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
010d15c5-587b-475e-b24d-a5b2d56fa636,f115b172-5cef-43b6-80e5-7dc6fb7cb545,32395.00000002,2022-02-25,"#N/A","#N/A",Closed,"#N/A",Voonix - Secondary Sale,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
011d3635-01c6-40b7-8982-a316fededa12,decd0e95-02ea-4cc4-a5a6-b2a14c18ebe3,37400.0,2022-05-11,"#N/A","#N/A",Pipeline,"#N/A",Twitterwire - Cross-sell,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
012b1cf7-74cf-4c8f-8aa1-25b75b2c474d,7f5a9c07-7194-4747-ba1e-f604c2611699,32395.00000002,2022-04-25,"#N/A","#N/A",Closed,"#N/A",Centimia - Secondary Sale,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
01d8b46d-6930-47f9-a216-d1382d97c68e,0a879aaa-0ace-40d6-b4c7-08843c9562fe,32395.00000002,2022-04-25,"#N/A","#N/A",Closed,"#N/A",Realcube - Secondary Sale,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
01e99b90-f790-4f1b-bd67-8225a1fa99c3,f5da1d2f-22f4-46ee-8a64-13681c8073fa,32395.00000002,2022-02-25,"#N/A","#N/A",Closed,"#N/A",Avaveo - Secondary Sale,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
02a04300-c80f-4555-9834-37c087cf9223,890efa99-a3c1-46df-8a3c-6cc930cda364,100082.0,2022-07-01,"#N/A","#N/A",Pipeline,"#N/A",Oozz - Upsell,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
0308a9f5-18f3-478d-bd1e-0b084c768f8c,e0d23a6c-626b-40c1-8db3-1a1b543f963f,100082.0,2022-07-01,"#N/A","#N/A",Pipeline,"#N/A",Skyba - Upsell,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
039c9a8a-7b2a-4741-b9c5-53313ffb9560,bdb409c8-5765-465c-aa0c-9444ddfa87b2,32395.00000002,2022-02-25,"#N/A","#N/A",Closed,"#N/A",Quimm - Secondary Sale,"#N/A",2028edef-a2c5-470e-9b91-496795d5b04c,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
