"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
001820a9-0ddd-4505-8326-550e265309a9,"#N/A",298278e9-4a99-412f-b201-0665ea0baecd,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
001fb30f-6c8e-4870-80c8-db1d6cda1bb4,"#N/A",ea96d8aa-b5b2-4caa-be84-8cb989e2f161,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
002aeeba-2539-440d-9139-6257497bc832,"#N/A",9f1bacdc-82b9-4792-b228-573c39a5a573,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00435585-620c-4646-be47-f4132c9b69f8,"#N/A",84bdc292-24f0-4914-9476-0cd53ab81452,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00557a4e-398b-42fa-806b-6c9e54fd2209,"#N/A",bbf4f88c-9999-416b-ad30-0a003881f59b,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
0063f483-5101-4916-8ab1-4853e957dc22,"#N/A",a3d41adf-0f0d-43fe-8244-d8c292c1a997,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00649630-a912-47ff-b2cc-283e851cce37,"#N/A",eab23ee5-8bf1-4da4-8152-1211cec9ac39,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00683299-4be0-4585-9bd4-0d804b88243b,"#N/A",3d3b79a6-90f0-48c2-950e-fe1f295700a4,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00727a1e-a094-4c30-a684-8b48c6156a5f,"#N/A",abac5d0f-f30f-4803-9f96-45fb3a991c31,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
0081e09b-8c9a-49e3-a047-a70890505f75,"#N/A",4e68798b-b3a1-4c75-825c-bc2160899abd,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
009a5b58-511e-4716-9cf1-f2d1906d4ed6,"#N/A",1b784821-26d4-4f1d-aa3a-fb92d368e85e,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
00a36bc0-2bf9-41f0-a704-884febda1845,"#N/A",f04ddb61-1210-4ea7-965e-e221012e5d44,18.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4482.0,249.0,"#N/A"
00b9ecc7-93b3-4642-9e52-0adade879e3f,"#N/A",f0e7e8e0-2de5-4750-97c2-52a3af0ce0de,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2900.0,580.0,"#N/A"
00bd2efe-35cf-4a9f-bfa9-a47d090dbc4f,"#N/A",5012dd7e-81ee-41f2-b3d6-b3d9a043a07b,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00cd55c0-9c58-4c0c-afee-2d824e45015a,"#N/A",3899d0c7-cc3b-4265-804a-54b03600cf66,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00d6d744-a69f-4e35-84b3-c508f5440ced,"#N/A",13633b7e-1e5b-4d79-9cd0-a98ce17573c6,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00d6fa5d-a1b9-4bf0-bec8-fbee53502f5c,"#N/A",d9f1a6ff-883e-438b-9e5c-363f21915faa,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00ed2b9c-e2e8-4d16-bb68-c58d854911dd,"#N/A",75cbb543-aea0-43e1-8b8f-481768ebef8f,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
00f0c8b8-c933-4f05-8299-45019b8e2b9f,"#N/A",3d7e7d0b-b161-4c4d-a0aa-ed411a9269fa,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
01031614-7984-4c62-9755-c3794cb4e039,"#N/A",44aad70a-f961-4380-aa6a-96339e9a5b23,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
01130a67-db3c-4183-bf77-2a20eed61f59,"#N/A",67c69e1b-5e75-4084-96b7-822eb89e96cb,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
011a8b31-c2f2-4763-b547-ac20c88d99b6,"#N/A",dd088b5f-213d-46c7-88b8-0f21c6329f13,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
011d9f62-a598-439e-b32d-82b0b1a08390,"#N/A",858c0e63-82f4-470d-a7a0-7fa2365dbc17,18.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4482.0,249.0,"#N/A"
011fc809-68e6-4167-9c8f-8c9b4e3c5058,"#N/A",0e67aa39-e298-42a1-a21a-9edcc68c64d6,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
015536f0-2b56-4860-b7fc-3e855086bcaf,"#N/A",9312a0fb-0335-4a65-9c08-27958399d367,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
01613d6c-8d28-4f0f-95db-6e76bc039972,"#N/A",42b73072-0b18-49cf-986b-ea7a19553b30,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
0173fb3c-3b9e-4037-bec3-9f14ea156654,"#N/A",05586f5b-9dda-4e6e-b0d6-b2bc0b355c6b,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
01747bc0-35de-469f-946e-c901182d4eda,"#N/A",ef458f9c-acef-4efa-aae8-60ff710b015f,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
0198302c-4940-4baf-92e5-2946e8861392,"#N/A",7dcfe63f-4cdd-4170-a649-cd97d707cff4,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
019b02e2-f4ff-4ad7-83df-8c5ad56ae29a,"#N/A",f04ddb61-1210-4ea7-965e-e221012e5d44,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
01a73343-664d-498a-a8d3-43b265467686,"#N/A",fcf59aaf-08cc-4f4c-ae22-baaa8021df7d,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
01b34ddd-f534-4535-91ee-4a114c81006a,"#N/A",2216adfe-298a-4cd3-a534-be1b7f26d8cf,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
01b3b03a-ef36-4aa8-821a-ef2ec11b83a9,"#N/A",bef31100-17c4-4084-a7a5-538bae1ffa85,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
01bcd239-0bc3-467a-a69a-4ad201a250fe,"#N/A",67a84028-e0dc-43c2-81d2-5e6f91061b79,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
01c24595-7fc9-4b6b-86a2-ca9ca12e0651,"#N/A",9a7f76a3-cce2-4074-8334-773a0e46fb74,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
01c4cf75-e5fc-439a-b592-fb66b3999666,"#N/A",27279e2b-eb3e-4242-bcdc-7bcac04b026d,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
01e6d53e-f731-45ef-bb11-afa2ef55ec60,"#N/A",24030cf3-c01f-498f-9acb-8cb5671045d6,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
01eafa5b-6854-49da-926d-e9c7799d85be,"#N/A",3503354a-93e1-4a6c-94af-8ffb9e8c0197,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
01f3897c-0ffc-4e9b-ba8a-f3bb437b78cc,"#N/A",e02af6ce-cb0f-47ba-b8f3-093a7d47b738,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
01fe8f95-770b-4650-8437-f8d74709353c,"#N/A",b8819163-5a6b-426b-896f-c48d6f166242,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
020f1e80-ae38-4199-880e-a04f01a68073,"#N/A",0997c49b-e182-4e96-9cdf-af3b455802c9,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
023f7a86-81ea-4971-9afc-5d4c8852b53d,"#N/A",987b99b5-1cff-44b9-8dc4-e42d86f76105,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
02429052-a6b7-408f-b5b3-aad60a1c556d,"#N/A",2d6b604a-be0d-4ac0-8ea1-99a98c8e7a82,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
02573792-b65a-453c-ba9a-e035e309c33f,"#N/A",bcdf1819-8d8d-4e2c-9ff9-ac0418995114,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
0283851f-94b7-42dc-9edc-880822335415,"#N/A",9caefd6d-a749-4fef-a6af-82603411298c,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
028dc9f5-350a-49ca-b0c6-58e06e82d0c3,"#N/A",ce7b9fc6-a2f0-4190-a2e0-4fe876e253d3,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
0299b7a0-e644-409b-850b-9e65590a682f,"#N/A",36b14a7f-b104-457b-a79a-6c4d0f58fa53,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
02b1d648-9cfb-4d56-929a-0ce5b5ae8e71,"#N/A",bf083d84-ae86-48b3-a13e-5c6981e0adae,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
02ba29bc-d973-4e75-98ca-cebdcedd9da4,"#N/A",d9f1a6ff-883e-438b-9e5c-363f21915faa,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
02bb6b63-3146-4728-b0fe-c202cda17995,"#N/A",5a9277e3-021b-4302-af0a-451da0482256,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
02f12f4b-37bd-40c9-8da4-d60a824118ce,"#N/A",d15df583-595b-4475-974c-f7326073653f,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
02f6ab54-758a-4e2c-97b5-61fbdb27c6e1,"#N/A",4c6e74f7-8885-42f3-b220-3cf27d4284bc,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
02fd5edf-b23a-4115-903f-7d4867b4949a,"#N/A",61575532-845d-4316-8899-50d37920a127,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
0301bccf-d766-41bb-9f2b-e81ffeb06926,"#N/A",fcf59aaf-08cc-4f4c-ae22-baaa8021df7d,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
033043ab-81d9-428c-8261-ff3eb1d73221,"#N/A",2acb6dcb-ce25-47a3-9ab8-8be6e45f4cdc,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
0332bd6f-ac05-4738-af88-36cbcd842a40,"#N/A",52cb06b7-6496-467f-938d-de8547ac19eb,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
0341767d-a349-4a3e-825b-aaf77fabb324,"#N/A",bf2f4872-def1-4488-9c39-9a0ed59edd69,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
034a333e-1cee-402b-904a-e58489937fed,"#N/A",51f9c23c-cff7-49d4-92cf-2bc6260bf764,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
0350beb0-7898-4f5a-b725-bc2871518d71,"#N/A",546a8018-f20d-4f04-b0ae-9033b7dfef0a,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
039365dd-1119-4671-9ce3-406e347fa608,"#N/A",c1627d03-e817-43e8-b8fb-c831574bf5ed,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
0397b0d1-c5b3-4093-af91-0ef97ea84c9d,"#N/A",5012dd7e-81ee-41f2-b3d6-b3d9a043a07b,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
03a26f17-3ce8-4186-b22d-b0e0de69bfab,"#N/A",e39064ef-5795-44bc-aad4-5afa5c194e14,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
03a749ca-b1c9-4e11-8beb-94a4818e8905,"#N/A",e290943c-a4b5-4882-95f2-e63fce68ca27,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
03b35a5b-ecf2-4946-a28f-0ddb9c7f36bd,"#N/A",4fa210f0-99bb-4e23-ab89-4eee18ad44f0,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
03b5c5fd-d054-44c6-8062-75a5c9a589bd,"#N/A",a870a7d1-5ee7-4490-ad41-20d1f50c3eed,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
03c09b26-4852-4ef5-98dc-2f38cf1c6a90,"#N/A",d9f1a6ff-883e-438b-9e5c-363f21915faa,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
03c422de-42d5-4171-a2f7-defa179a888f,"#N/A",5252a5b7-b3d0-46c9-8206-323bda327a9a,18.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4482.0,249.0,"#N/A"
03c9bfa8-e1db-4546-a274-fe299ef291ce,"#N/A",1edfdbb8-3005-47cf-a51d-9115ca3bea4d,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
03e37feb-d630-445f-834e-b701a9b90952,"#N/A",ec768f84-583c-4efe-8145-052c7cc760df,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
03e823c0-24ae-48b9-8997-d973f0352031,"#N/A",84bdc292-24f0-4914-9476-0cd53ab81452,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
03f4e23d-6a69-4c29-b1d0-c757f8edda4e,"#N/A",056e4c2a-1cf3-4023-9ff3-1d1dc7e0bb58,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
040977ad-fbf3-4c7f-8990-d1d01fc4691f,"#N/A",637074c4-8076-4529-84a5-44d33db30544,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
040beba0-f9cf-4d89-8228-17d0bea6e110,"#N/A",07c87308-cc1c-4a5b-926f-eeda9d866c2b,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
041e873e-f089-48de-86d1-0ee28bff852a,"#N/A",e0ed4d55-905d-4ca7-9811-634fbf2f2266,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
043ade94-a5e6-4f9e-8445-e21286b9c4a6,"#N/A",2b2f90e8-c868-42ba-9b6b-6598e900d91b,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
0440dfe4-b55c-471a-a7b6-038a19dec33d,"#N/A",846f22c2-28dd-4014-ac3e-3c5d8120a16d,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
044a8ee9-1c89-4c17-b521-436d3b60a5e6,"#N/A",eba971f5-66a8-4461-b1fe-e7049c079ee4,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
0459d0b3-2c2b-4fa2-80d1-b6bc81da9649,"#N/A",5307837c-65e9-4641-a6a3-a6a67b1c4728,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
046978e9-96b0-4ea1-95a9-f3be24b8acc1,"#N/A",72fac3a3-c50c-4426-b89b-041e39711409,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
047976b8-ad29-4ff1-824e-e8f9a05701dc,"#N/A",5c171ccf-c4f1-4808-b1c8-f2078584171d,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
047b6d0e-6ba9-409a-bd3f-22d00e76500d,"#N/A",2ff2c4ce-9e4e-4612-a97e-46529d79698a,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
04adaa2b-f81a-4c8b-aa3a-399329f6777d,"#N/A",66590fde-af87-4d33-9ffb-b4a17b7b0654,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
04b309cc-ff78-4318-ba34-97a87b1170a1,"#N/A",4a7f0c02-5214-471c-bf7b-fec5042ca256,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
04b373bd-0ce8-4ac3-aab7-3eb13fec2527,"#N/A",6bbfcde4-0a32-41d0-8931-050948a071cf,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
